"treatment","doctrine","metric","n","mean","ci95_low","ci95_high"
"flare-only:one-shot","v3-flare-cluster","score","960","0.047581845238095256","0.035077044489639636","0.06008664598655088"
"flare-only:one-shot","v3-flare-cluster","progress","960","-0.645138888888889","-0.6864069869344547","-0.6038707908433234"
"flare-only:one-shot","v3-flare-cluster","drift","960","-0.43139880952380866","-0.45789472018805133","-0.404902898859566"
"flare-only:one-shot","v3-flare-density","score","960","0.02836061507936509","0.019410592545994768","0.03731063761273541"
"flare-only:one-shot","v3-flare-density","progress","960","-0.49883432539682376","-0.5374357839270826","-0.46023286686656495"
"flare-only:one-shot","v3-flare-density","drift","960","-0.30761408730158624","-0.3301435771982471","-0.28508459740492537"
"flare-only:one-shot","v3-flare-far-objective","score","960","0.057366071428571516","0.04636759292683702","0.06836454993030601"
"flare-only:one-shot","v3-flare-far-objective","progress","960","-0.5531994047619039","-0.5877140085572397","-0.5186848009665681"
"flare-only:one-shot","v3-flare-far-objective","drift","960","-0.4031746031746029","-0.42886659641492964","-0.3774826099342762"
"flare-only:reload","v3-flare-cluster","score","960","0.059598214285714254","0.04519843521291038","0.07399799335851813"
"flare-only:reload","v3-flare-cluster","progress","960","-0.7641865079365057","-0.8113734042067743","-0.716999611666237"
"flare-only:reload","v3-flare-cluster","drift","960","-0.5001488095238101","-0.5294728618870133","-0.47082475716060695"
"flare-only:reload","v3-flare-density","score","960","0.039496527777777755","0.02847700255417137","0.05051605300138414"
"flare-only:reload","v3-flare-density","progress","960","-0.5922619047619051","-0.6357984427199853","-0.5487253668038249"
"flare-only:reload","v3-flare-density","drift","960","-0.374652777777777","-0.4004264467243309","-0.3488791088312231"
"flare-only:reload","v3-flare-far-objective","score","960","0.06646825396825395","0.05378231157871147","0.07915419635779644"
"flare-only:reload","v3-flare-far-objective","progress","960","-0.6495783730158711","-0.6914197790953244","-0.6077369669364178"
"flare-only:reload","v3-flare-far-objective","drift","960","-0.46106150793650824","-0.489731926402963","-0.4323910894700535"
"chaff-only:one-shot","v3-adaptive-artillery","score","960","0","0","0"
"chaff-only:one-shot","v3-adaptive-artillery","progress","960","0","0","0"
"chaff-only:one-shot","v3-adaptive-artillery","drift","960","0","0","0"
"chaff-only:one-shot","v3-chaff-screen","score","960","0","0","0"
"chaff-only:one-shot","v3-chaff-screen","progress","960","0","0","0"
"chaff-only:one-shot","v3-chaff-screen","drift","960","0","0","0"
"chaff-only:reload","v3-adaptive-artillery","score","960","0","0","0"
"chaff-only:reload","v3-adaptive-artillery","progress","960","0","0","0"
"chaff-only:reload","v3-adaptive-artillery","drift","960","0","0","0"
"chaff-only:reload","v3-chaff-screen","score","960","0","0","0"
"chaff-only:reload","v3-chaff-screen","progress","960","0","0","0"
"chaff-only:reload","v3-chaff-screen","drift","960","0","0","0"
"combined:one-shot","v3-adaptive-artillery","score","960","0.0059151785714285695","0.004029964025071995","0.007800393117785144"
"combined:one-shot","v3-adaptive-artillery","progress","960","-0.060119047619047634","-0.0735424080691949","-0.046695687168900366"
"combined:one-shot","v3-adaptive-artillery","drift","960","-0.08841765873015871","-0.11011752378161585","-0.06671779367870156"
"combined:one-shot","v3-chaff-screen","score","960","0.013926091269841267","0.008483724586021247","0.019368457953661287"
"combined:one-shot","v3-chaff-screen","progress","960","-0.23422619047619042","-0.27065576855687634","-0.1977966123955045"
"combined:one-shot","v3-chaff-screen","drift","960","-0.22199900793650806","-0.2593489059056637","-0.18464910996735245"
"combined:one-shot","v3-flare-cluster","score","960","0.041369047619047646","0.029535771094688273","0.05320232414340702"
"combined:one-shot","v3-flare-cluster","progress","960","-0.5636904761904756","-0.6044296740916852","-0.522951278289266"
"combined:one-shot","v3-flare-cluster","drift","960","-0.3719742063492054","-0.3976448199232283","-0.3463035927751825"
"combined:one-shot","v3-flare-density","score","960","0.024342757936507923","0.01591500502794508","0.032770510845070766"
"combined:one-shot","v3-flare-density","progress","960","-0.43722718253968135","-0.4739376569186569","-0.4005167081607058"
"combined:one-shot","v3-flare-density","drift","960","-0.26728670634920604","-0.2880897628330652","-0.24648364986534685"
"combined:one-shot","v3-flare-far-objective","score","960","0.04775545634920635","0.03722838968108319","0.058282523017329516"
"combined:one-shot","v3-flare-far-objective","progress","960","-0.49632936507936454","-0.5305487275199596","-0.46211000263876945"
"combined:one-shot","v3-flare-far-objective","drift","960","-0.3509920634920634","-0.37549376303819015","-0.32649036394593667"
"combined:reload","v3-adaptive-artillery","score","960","0.005902777777777774","0.00375234040762274","0.008053215147932807"
"combined:reload","v3-adaptive-artillery","progress","960","-0.07294146825396819","-0.08899261075249475","-0.05689032575544163"
"combined:reload","v3-adaptive-artillery","drift","960","-0.09481646825396822","-0.11655491305213919","-0.07307802345579725"
"combined:reload","v3-chaff-screen","score","960","0.017336309523809525","0.010994068865903591","0.023678550181715458"
"combined:reload","v3-chaff-screen","progress","960","-0.3261160714285713","-0.37220725607194965","-0.28002488678519294"
"combined:reload","v3-chaff-screen","drift","960","-0.2601438492063493","-0.2998512507958703","-0.2204364476168283"
"combined:reload","v3-flare-cluster","score","960","0.05250496031746026","0.03893132013305761","0.06607860050186291"
"combined:reload","v3-flare-cluster","progress","960","-0.6718253968253957","-0.7190106325536164","-0.6246401610971749"
"combined:reload","v3-flare-cluster","drift","960","-0.43516865079365136","-0.46415790192966705","-0.40617939965763566"
"combined:reload","v3-flare-density","score","960","0.03390376984126984","0.02353031217940518","0.044277227503134495"
"combined:reload","v3-flare-density","progress","960","-0.5243055555555544","-0.5665050658140622","-0.4821060452970465"
"combined:reload","v3-flare-density","drift","960","-0.3293402777777778","-0.35373400288404067","-0.30494655267151494"
"combined:reload","v3-flare-far-objective","score","960","0.05591517857142851","0.043798998864929","0.06803135827792803"
"combined:reload","v3-flare-far-objective","progress","960","-0.5868799603174587","-0.6285039468467167","-0.5452559737882007"
"combined:reload","v3-flare-far-objective","drift","960","-0.4065228174603179","-0.43431971808348313","-0.3787259168371526"
